Data/Hora,RMS,Peak,Clipping,Clipping_pct,SNR,Diagnóstico,Participantes
2026-05-25 08:56:00,0.0232,0.1847,0,0.0000,36.73,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:56:02,0.0260,0.1884,0,0.0000,39.04,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:56:05,0.0241,0.1845,0,0.0000,31.05,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:56:07,0.0307,0.1919,0,0.0000,21.86,Baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:56:09,0.0341,0.1866,0,0.0000,33.41,Baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:56:12,0.0207,0.1686,0,0.0000,30.91,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:56:14,0.0167,0.1153,0,0.0000,31.72,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:56:16,0.0182,0.1838,0,0.0000,42.37,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:56:19,0.0020,0.0256,0,0.0000,5.12,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:56:21,0.0310,0.1847,0,0.0000,42.27,Baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:56:24,0.0001,0.0005,0,0.0000,-2.40,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:56:26,0.0237,0.1872,0,0.0000,31.44,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:56:28,0.0130,0.1022,0,0.0000,38.26,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:56:31,0.0145,0.1529,0,0.0000,30.91,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:56:33,0.0042,0.0507,0,0.0000,30.38,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:56:35,0.0112,0.1066,0,0.0000,28.32,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:56:38,0.0168,0.1394,0,0.0000,39.10,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:56:40,0.0189,0.1088,0,0.0000,38.77,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:56:42,0.0148,0.1377,0,0.0000,23.80,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:56:45,0.0149,0.1184,0,0.0000,41.55,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:56:47,0.0001,0.0012,0,0.0000,-2.22,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:56:49,0.0099,0.0952,0,0.0000,36.12,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:56:52,0.0001,0.0005,0,0.0000,-2.25,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:56:54,0.0096,0.0598,0,0.0000,38.66,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:56:56,0.0105,0.1199,0,0.0000,40.63,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:56:59,0.0259,0.1845,0,0.0000,42.73,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:57:01,0.0001,0.0011,0,0.0000,-2.13,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:57:04,0.0318,0.1862,0,0.0000,33.40,Baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:57:06,0.0234,0.1850,0,0.0000,32.82,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:57:08,0.0015,0.0307,0,0.0000,-2.37,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:57:11,0.0231,0.1707,0,0.0000,31.29,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:57:13,0.0156,0.1266,0,0.0000,36.97,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:57:15,0.0225,0.1891,0,0.0000,29.96,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:57:18,0.0229,0.1857,0,0.0000,46.83,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:57:20,0.0276,0.1874,0,0.0000,36.74,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:57:22,0.0153,0.1611,0,0.0000,42.91,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:57:25,0.0258,0.1871,0,0.0000,25.86,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:57:27,0.0193,0.1856,0,0.0000,44.84,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:57:29,0.0214,0.1884,0,0.0000,29.07,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:57:32,0.0252,0.1908,0,0.0000,17.96,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:57:34,0.0276,0.1905,0,0.0000,30.18,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:57:37,0.0088,0.0890,0,0.0000,22.63,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:57:39,0.0251,0.1707,0,0.0000,48.37,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:57:41,0.0006,0.0077,0,0.0000,-1.46,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:57:44,0.0263,0.1914,0,0.0000,24.42,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:57:46,0.0206,0.1842,0,0.0000,42.96,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:57:48,0.0227,0.1649,0,0.0000,38.54,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:57:51,0.0166,0.1914,0,0.0000,26.94,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:57:53,0.0113,0.1189,0,0.0000,31.34,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:57:55,0.0029,0.0442,0,0.0000,18.53,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:57:58,0.0191,0.1845,0,0.0000,39.67,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:58:00,0.0232,0.1874,0,0.0000,47.36,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:58:03,0.0158,0.1307,0,0.0000,40.16,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:58:05,0.0236,0.1871,0,0.0000,42.43,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:58:07,0.0149,0.1043,0,0.0000,36.07,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:58:10,0.0118,0.0923,0,0.0000,35.02,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:58:12,0.0317,0.1898,0,0.0000,41.31,Baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:58:14,0.0177,0.1700,0,0.0000,30.73,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:58:17,0.0118,0.1333,0,0.0000,31.04,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:58:19,0.0207,0.1862,0,0.0000,23.75,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:58:22,0.0071,0.0523,0,0.0000,33.25,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:58:24,0.0168,0.1718,0,0.0000,43.60,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:58:26,0.0248,0.1854,0,0.0000,22.28,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:58:29,0.0107,0.1186,0,0.0000,37.95,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:58:31,0.0264,0.1891,0,0.0000,36.20,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:58:33,0.0318,0.1896,0,0.0000,23.43,Baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:58:36,0.0174,0.1302,0,0.0000,34.85,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:58:38,0.0192,0.1408,0,0.0000,26.55,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:58:40,0.0045,0.0403,0,0.0000,14.78,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:58:43,0.0155,0.1480,0,0.0000,23.35,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:58:45,0.0189,0.1902,0,0.0000,27.65,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:58:48,0.0154,0.1793,0,0.0000,42.70,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:58:50,0.0255,0.1889,0,0.0000,39.14,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:58:52,0.0150,0.1765,0,0.0000,21.70,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:58:55,0.0218,0.1892,0,0.0000,22.78,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:58:57,0.0145,0.1817,0,0.0000,27.05,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:58:59,0.0283,0.1857,0,0.0000,43.41,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:59:02,0.0164,0.1753,0,0.0000,31.81,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:59:04,0.0225,0.1871,0,0.0000,30.36,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:59:06,0.0173,0.1882,0,0.0000,33.83,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:59:09,0.0081,0.0761,0,0.0000,33.93,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:59:11,0.0205,0.1880,0,0.0000,37.47,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:59:13,0.0128,0.1139,0,0.0000,42.67,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:59:16,0.0285,0.1890,0,0.0000,24.55,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:59:18,0.0233,0.1870,0,0.0000,36.51,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:59:21,0.0248,0.1833,0,0.0000,27.62,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:59:23,0.0122,0.1302,0,0.0000,38.06,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:59:25,0.0180,0.1890,0,0.0000,34.89,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:59:28,0.0366,0.1880,0,0.0000,37.46,Baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:59:30,0.0149,0.1323,0,0.0000,20.59,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:59:33,0.0053,0.0406,0,0.0000,30.51,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:59:35,0.0247,0.1865,0,0.0000,47.01,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:59:37,0.0285,0.1885,0,0.0000,21.28,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:59:40,0.0242,0.1884,0,0.0000,40.68,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:59:42,0.0280,0.1842,0,0.0000,24.45,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:59:44,0.0215,0.1688,0,0.0000,20.84,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:59:47,0.0029,0.0272,0,0.0000,19.14,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:59:49,0.0075,0.0840,0,0.0000,32.10,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:59:52,0.0245,0.1894,0,0.0000,46.58,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
